,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain in Last 3 Hours (inches),Snow in Last 3 Hours (inches),Weather Description,Hotel Name
155,Noumea,NC,2019-10-22 06:26:09,-22.28,166.46,77.0,61,63,13.87,0.0,0.0,broken clouds,Hôtel Le Lagon
156,Biltine,TD,2019-10-22 06:26:09,14.53,20.93,85.01,46,19,5.93,0.0,0.0,few clouds,Hôtel Trois Étoiles de Biltine
161,Sydney,AU,2019-10-22 06:26:10,-33.85,151.22,81.0,53,0,19.46,0.0,0.0,clear sky,"Pier One Sydney Harbour, Autograph Collection"
169,Kavieng,PG,2019-10-22 06:24:31,-2.57,150.8,85.23,66,98,5.32,0.0,0.0,overcast clouds,Nusa Island Retreat
171,Seybaplaya,MX,2019-10-22 06:26:13,19.65,-90.67,77.43,89,4,3.53,0.0,0.0,clear sky,sala de fiesta san Rafael
173,Fairhope,US,2019-10-22 06:26:14,30.52,-87.9,75.2,100,40,5.77,0.0,0.0,scattered clouds,Hampton Inn Fairhope-Mobile Bay
174,Ishigaki,JP,2019-10-22 06:26:14,24.34,124.16,80.6,61,20,12.75,0.0,0.0,few clouds,Hotel Peace Land Ishigakijima
182,Andilamena,MG,2019-10-22 06:26:17,-17.01,48.57,85.66,34,31,1.59,0.0,0.0,scattered clouds,Magic Hotel Restaurant
188,Honiara,SB,2019-10-22 06:26:19,-9.43,159.96,87.8,58,75,11.41,0.0,0.0,broken clouds,Heritage Park Hotel
192,Acapulco,MX,2019-10-22 06:26:20,16.86,-99.88,80.6,88,20,5.82,0.0,0.0,few clouds,Crowne Plaza Acapulco
196,Northam,AU,2019-10-22 06:26:21,-31.65,116.67,78.8,39,0,16.11,0.0,0.0,clear sky,Northam Motel
199,Kavaratti,IN,2019-10-22 06:23:26,10.57,72.64,81.75,81,69,17.05,0.0,0.0,broken clouds,Hotels in Lakshadweep Islands
205,Longyan,CN,2019-10-22 06:26:24,25.1,117.03,77.04,36,6,2.53,0.0,0.0,clear sky,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
222,Dale,CN,2019-10-22 06:26:29,24.09,109.99,78.85,60,45,6.96,0.0,0.0,scattered clouds,
224,Piacabucu,BR,2019-10-22 06:26:30,-10.41,-36.43,76.96,75,95,11.92,0.0,0.0,overcast clouds,Piaçabuçu News
228,Dwarka,IN,2019-10-22 06:26:31,28.58,77.04,84.2,44,40,9.17,0.0,0.0,haze,Radisson Blu Dwarka
234,Bambous Virieux,MU,2019-10-22 06:23:05,-20.34,57.76,80.6,69,75,18.34,0.0,0.0,broken clouds,Casa Tia Villa
239,Waingapu,ID,2019-10-22 06:26:34,-9.65,120.26,80.92,78,21,9.95,0.0,0.0,few clouds,Pondok Wisata Elim
244,Victoria,BN,2019-10-22 06:24:30,5.28,115.24,89.6,70,75,5.82,0.0,0.0,broken clouds,Tiara Labuan Hotel
250,Thinadhoo,MV,2019-10-22 06:26:37,0.53,72.93,81.12,78,95,10.98,0.0,0.0,overcast clouds,
252,Marsh Harbour,BS,2019-10-22 06:26:38,26.54,-77.06,80.58,82,73,10.76,0.0,0.0,broken clouds,Abaco Beach Resort
256,Gold Coast,AU,2019-10-22 06:26:40,-28.0,153.41,75.99,60,1,14.99,0.0,0.0,clear sky,Mantra Towers of Chevron
260,Goundam,ML,2019-10-22 06:22:57,16.42,-3.66,84.81,46,35,3.74,0.0,0.0,scattered clouds,
265,Puro,PH,2019-10-22 06:26:43,13.13,123.76,85.08,67,56,6.26,0.0,0.0,broken clouds,Hotel St. Ellis
268,Port Moresby,PG,2019-10-22 06:26:44,-9.47,147.16,84.2,74,40,28.07,0.0,0.0,smoke,Lamana Hotel
278,Luganville,VU,2019-10-22 06:26:47,-15.51,167.18,82.4,74,75,8.05,0.0,0.0,broken clouds,The Espiritu Hotel
281,Moussoro,TD,2019-10-22 06:26:47,13.64,16.49,83.91,50,21,7.7,0.0,0.0,few clouds,Pharmacie alnadja Moussoro
