City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Arraial Do Cabo,BR,2019-10-21 03:11:50,-22.97,-42.02,71.6,64,75,9.17
70,Saskylakh,RU,2019-10-21 03:11:51,71.97,114.09,8.31,86,100,11.14
71,Busselton,AU,2019-10-21 03:11:51,-33.64,115.35,78.01,41,0,7.07
72,San Patricio,PY,2019-10-21 03:11:51,-26.98,-56.83,61.14,97,96,5.77
73,Formosa Do Rio Preto,BR,2019-10-21 03:11:52,-11.04,-45.19,76.01,66,55,4.5
74,Lagoa,PT,2019-10-21 03:11:52,37.14,-8.45,54.0,87,0,1.12
75,Laguna,BZ,2019-10-21 03:11:53,16.17,-88.94,80.6,94,0,3.15
76,Hithadhoo,MV,2019-10-21 03:11:53,-0.6,73.08,80.79,75,43,11.34
77,Mahebourg,MU,2019-10-21 03:11:54,-20.41,57.7,72.0,94,90,6.93
78,Pamplonita,CO,2019-10-21 03:11:54,7.44,-72.64,80.6,74,40,6.93
79,Mar Del Plata,AR,2019-10-21 03:11:54,-46.43,-67.52,57.72,38,100,20.58
80,Kaitangata,NZ,2019-10-21 03:11:56,-46.28,169.85,55.0,40,100,8.01
81,Avera,US,2019-10-21 03:11:56,33.19,-82.53,63.0,100,1,3.27
82,Sanandaj,IR,2019-10-21 03:11:57,35.31,47.0,51.8,81,40,4.7
83,Vestmanna,FO,2019-10-21 03:11:58,62.16,-7.17,46.4,81,100,18.34
84,Victoria,BN,2019-10-21 03:11:59,5.28,115.24,89.6,55,75,4.7
85,Esna,RO,2019-10-21 03:11:59,45.2,27.57,55.05,93,0,6.17
86,Coquimbo,CL,2019-10-21 03:11:59,-29.95,-71.34,55.4,71,0,11.52
87,Vestmannaeyjar,IS,2019-10-21 03:12:00,63.44,-20.27,46.94,89,100,18.5
88,Narasannapeta,IN,2019-10-21 03:12:00,18.42,84.04,81.15,77,61,4.9
89,Imbituba,BR,2019-10-21 03:12:01,-28.24,-48.67,66.2,72,75,5.82
90,Dunedin,NZ,2019-10-21 03:12:01,-45.87,170.5,55.99,42,68,10.0
91,Salalah,OM,2019-10-21 03:12:02,17.01,54.1,78.8,39,0,8.05
92,Samarai,PG,2019-10-21 03:12:02,-10.62,150.67,78.08,88,93,6.62
93,Yandyki,RU,2019-10-21 03:12:03,45.77,47.13,53.27,73,3,6.4
94,Luderitz,NA,2019-10-21 03:12:03,-26.65,15.16,58.2,77,0,25.23
95,Tazovskiy,RU,2019-10-21 03:12:04,67.47,78.7,25.71,92,100,11.86
